,Year,Winner,Musical,Music,Book,Lyrics,Link
213,2009,False,Rock of Ages,Various,Chris D'Arienzo,Various,https://en.wikipedia.org/wiki/Rock_of_Ages_(musical)
214,2009,False,Shrek The Musical,Jeanine Tesori,David Lindsay-Abaire,Lindsay-Abaire,https://en.wikipedia.org/wiki/Shrek_The_Musical
215,2010,True,Memphis,David Bryan,Joe DiPietro,Bryan & DiPietro,https://en.wikipedia.org/wiki/Memphis_(musical)
216,2010,False,American Idiot,Green Day,Billie Joe Armstrong & Michael Mayer,Armstrong,https://en.wikipedia.org/wiki/American_Idiot_(musical)
217,2010,False,Fela!,Fela,Bill T. Jones & Jim Lewis,Fela,https://en.wikipedia.org/wiki/Fela!
218,2010,False,Million Dollar Quartet,Various,Colin Escott & Floyd Mutrux,Various,https://en.wikipedia.org/wiki/Million_Dollar_Quartet_(musical)
219,2011,True,The Book of Mormon,"Robert Lopez, Trey Parker & Matt Stone","Robert Lopez, Trey Parker & Matt Stone","Robert Lopez, Trey Parker & Matt Stone",https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical)
220,2011,False,Catch Me If You Can,Marc Shaiman,Terrence McNally,Shaiman & Scott Wittman,https://en.wikipedia.org/wiki/Catch_Me_If_You_Can_(musical)
221,2011,False,The Scottsboro Boys,John Kander,David Thompson,Fred Ebb,https://en.wikipedia.org/wiki/The_Scottsboro_Boys_(musical)
222,2011,False,Sister Act,Alan Menken,"Cheri, Bill Steinkellner & Douglas Carter Beane",Glenn Slater,https://en.wikipedia.org/wiki/Sister_Act_(musical)
223,2012,True,Once,Glen Hansard & Markéta Irglová,Enda Walsh,Glen Hansard & Markéta Irglová,https://en.wikipedia.org/wiki/Once_(musical)
224,2012,False,Leap of Faith,Alan Menken,Janus Cercone & Glenn Slater,Slater,https://en.wikipedia.org/wiki/Leap_of_Faith_(musical)
225,2012,False,Newsies,Menken,Harvey Fierstein,Jack Feldman,https://en.wikipedia.org/wiki/Newsies_(musical)
226,2012,False,Nice Work If You Can Get It,George Gershwin,Joe DiPietro,Ira Gershwin,https://en.wikipedia.org/wiki/Nice_Work_If_You_Can_Get_It_(musical)
227,2013,True,Kinky Boots,Cyndi Lauper,Harvey Fierstein,Cyndi Lauper,https://en.wikipedia.org/wiki/Kinky_Boots_(musical)
228,2013,False,Bring It On: The Musical,Tom Kitt & Lin-Manuel Miranda,Jeff Whitty,Amanda Green & Miranda,https://en.wikipedia.org/wiki/Bring_It_On:_The_Musical
229,2013,False,A Christmas Story: The Musical,Benj Pasek & Justin Paul,Joseph Robinette,Benj Pasek & Justin Paul,https://en.wikipedia.org/wiki/A_Christmas_Story:_The_Musical
230,2013,False,Matilda the Musical,Tim Minchin,Dennis Kelly,Tim Minchin,https://en.wikipedia.org/wiki/Matilda_the_Musical
231,2014,True,A Gentleman's Guide to Love and Murder,Steven Lutvak,Robert L. Freedman,Freedman & Lutvak,https://en.wikipedia.org/wiki/A_Gentleman%27s_Guide_to_Love_and_Murder
232,2014,False,After Midnight,Various,Jack Viertel,Various,https://en.wikipedia.org/wiki/After_Midnight_(musical)
233,2014,False,Aladdin,Alan Menken,Chad Beguelin,"Howard Ashman, Beguelin & Tim Rice",https://en.wikipedia.org/wiki/Aladdin_(2011_musical)
234,2014,False,Beautiful: The Carole King Musical,"Gerry Goffin, Carole King, Barry Mann & Cynthia Weil",Douglas McGrath,"Gerry Goffin, Carole King, Barry Mann & Cynthia Weil",https://en.wikipedia.org/wiki/Beautiful:_The_Carole_King_Musical
235,2015,True,Fun Home,Jeanine Tesori,Lisa Kron,Kron,https://en.wikipedia.org/wiki/Fun_Home_(musical)
236,2015,False,An American in Paris,George Gershwin,Craig Lucas,Ira Gershwin,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical)
237,2015,False,Something Rotten!,Karey & Wayne Kirkpatrick,Karey Kirkpatrick & John O'Farrell,Karey & Wayne Kirkpatrick,https://en.wikipedia.org/wiki/Something_Rotten!
238,2015,False,The Visit,John Kander,Terrence McNally,Fred Ebb,https://en.wikipedia.org/wiki/The_Visit_(musical)
239,2016,True,Hamilton †,Lin-Manuel Miranda,Lin-Manuel Miranda,Lin-Manuel Miranda,https://en.wikipedia.org/wiki/Hamilton_(musical)
240,2016,False,Bright Star,Edie Brickell & Martin,Steve Martin,Brickell,https://en.wikipedia.org/wiki/Bright_Star_(musical)
241,2016,False,School of Rock,Andrew Lloyd Webber,Julian Fellowes,Glenn Slater,https://en.wikipedia.org/wiki/School_of_Rock_(musical)
242,2016,False,Shuffle Along,Eubie Blake & Noble Sissle,George C. Wolfe,Eubie Blake & Noble Sissle,"https://en.wikipedia.org/wiki/Shuffle_Along,_or,_the_Making_of_the_Musical_Sensation_of_1921_and_All_That_Followed"
243,2016,False,Waitress,Sara Bareilles,Jessie Nelson,Sara Bareilles,https://en.wikipedia.org/wiki/Waitress_(musical)
244,2017,True,Dear Evan Hansen,Benj Pasek & Justin Paul,Steven Levenson,Benj Pasek & Justin Paul,https://en.wikipedia.org/wiki/Dear_Evan_Hansen
245,2017,False,Come from Away,David Hein & Irene Sankoff,David Hein & Irene Sankoff,David Hein & Irene Sankoff,https://en.wikipedia.org/wiki/Come_from_Away
246,2017,False,Groundhog Day,Tim Minchin,Danny Rubin,Tim Minchin,https://en.wikipedia.org/wiki/Groundhog_Day_(musical)
247,2017,False,"Natasha, Pierre & The Great Comet of 1812",Dave Malloy,Dave Malloy,Dave Malloy,"https://en.wikipedia.org/wiki/Natasha,_Pierre_%26_The_Great_Comet_of_1812"
248,2018,True,The Band's Visit,David Yazbek,Itamar Moses,David Yazbek,https://en.wikipedia.org/wiki/The_Band%27s_Visit_(musical)
249,2018,False,Frozen,Kristen Anderson-Lopez & Robert Lopez,Jennifer Lee,Kristen Anderson-Lopez & Robert Lopez,https://en.wikipedia.org/wiki/Frozen_(musical)
250,2018,False,Mean Girls,Jeff Richmond,Tina Fey,Nell Benjamin,https://en.wikipedia.org/wiki/Mean_Girls_(musical)
251,2018,False,SpongeBob SquarePants,Various,Kyle Jarrow,Various,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical)
252,2019,True,Hadestown,Anaïs Mitchell,Anaïs Mitchell,Anaïs Mitchell,https://en.wikipedia.org/wiki/Hadestown_(musical)
253,2019,False,Ain’t Too Proud,The Temptations,Dominique Morisseau,The Temptations,https://en.wikipedia.org/wiki/Ain%27t_Too_Proud_(musical)
254,2019,False,Beetlejuice,Eddie Perfect,Scott Brown & Anthony King,Eddie Perfect,https://en.wikipedia.org/wiki/Beetlejuice_(musical)
255,2019,False,The Prom,Matthew Sklar,Chad Beguelin & Bob Martin,Beguelin,https://en.wikipedia.org/wiki/The_Prom_(musical)
256,2019,False,Tootsie,David Yazbek,Robert Horn,David Yazbek,https://en.wikipedia.org/wiki/Tootsie_(musical)
